0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
27   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ubuntu/nyugeoblacklight/jetty/contexts at interval 0
42   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ubuntu/nyugeoblacklight/jetty/contexts/solr.xml
1597 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1683 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1722 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1723 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/ubuntu/nyugeoblacklight/jetty/solr
1723 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/ubuntu/nyugeoblacklight/jetty/solr/'
1732 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/nyugeoblacklight/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
1733 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/nyugeoblacklight/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
1733 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/nyugeoblacklight/jetty/solr/lib/contrib/' to classloader
1733 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/nyugeoblacklight/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
1918 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/ubuntu/nyugeoblacklight/jetty/solr/solr.xml
2038 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/ubuntu/nyugeoblacklight/jetty/solr
2045 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1847028613
2045 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/ubuntu/nyugeoblacklight/jetty/solr/]
2047 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /home/ubuntu/nyugeoblacklight/jetty/solr/lib
2047 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/nyugeoblacklight/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
2048 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/nyugeoblacklight/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
2048 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/nyugeoblacklight/jetty/solr/lib/contrib/' to classloader
2048 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/nyugeoblacklight/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
2098 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2099 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2102 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
